'tagfield','tagsubfield','name','repeatable','mandatory'
'772','a','Hovedordningsord for posten det lenkes til, hvis dette er et personnavn, korporasjonsnavn eller en standardtittel.',0,0
'772','b','Utgave.',0,0
'772','d','Sted, forlag og dato (år) for utgivelse.',0,0
'772','e','Språkkode.',0,0
'772','f','Landekode.',0,0
'772','g','Relasjonsopplysninger. (R)',1,0
'772','h','Materialbetegnelse.',0,0
'772','i','Årstall i "ren" form. (R)',1,0
'772','k','Serie. (R)',1,0
'772','s','Standardtittel',0,0
'772','t','Tittel',0,0
'772','w','Lokalt systems identifikasjonsnummer. (R)',1,0
'772','x','ISSN',0,0
'772','y','CODEN',0,0
'772','z','ISBN',0,0
'772','7','Type hovedordningsord i delfelt $a',0,0
'773','a','Hovedordningsord for posten det lenkes til, hvis dette er et personnavn, korporasjonsnavn eller en standardtittel.',0,0
'773','b','Utgave.',0,0
'773','d','Sted, forlag og dato (år) for utgivelse.',0,0
'773','e','Språkkode.',0,0
'773','f','Landekode.',0,0
'773','g','Relasjonsopplysninger. (R)',1,0
'773','h','Materialbetegnelse.',0,0
'773','i','Årstall i "ren" form. (R)',1,0
'773','k','Serie. (R)',1,0
'773','s','Standardtittel',0,0
'773','t','Tittel',0,0
'773','w','Lokalt systems identifikasjonsnummer. (R)',1,0
'773','x','ISSN',0,0
'773','y','CODEN',0,0
'773','z','ISBN',0,0
'773','7','Type hovedordningsord i delfelt $a',0,0
'775','a','Hovedordningsord for posten det lenkes til, hvis dette er et personnavn, korporasjonsnavn eller en standardtittel.',0,0
'775','b','Utgave.',0,0
'775','d','Sted, forlag og dato (år) for utgivelse.',0,0
'775','e','Språkkode.',0,0
'775','f','Landekode.',0,0
'775','g','Relasjonsopplysninger. (R)',1,0
'775','h','Materialbetegnelse.',0,0
'775','i','Årstall i "ren" form. (R)',1,0
'775','k','Serie. (R)',1,0
'775','s','Standardtittel',0,0
'775','t','Tittel',0,0
'775','w','Lokalt systems identifikasjonsnummer. (R)',1,0
'775','x','ISSN',0,0
'775','y','CODEN',0,0
'775','z','ISBN',0,0
'775','7','Type hovedordningsord i delfelt $a',0,0
'776','a','Hovedordningsord for posten det lenkes til, hvis dette er et personnavn, korporasjonsnavn eller en standardtittel.',0,0
'776','b','Utgave.',0,0
'776','d','Sted, forlag og dato (år) for utgivelse.',0,0
'776','e','Språkkode.',0,0
'776','f','Landekode.',0,0
'776','g','Relasjonsopplysninger. (R)',1,0
'776','h','Materialbetegnelse.',0,0
'776','i','Årstall i "ren" form. (R)',1,0
'776','k','Serie. (R)',1,0
'776','s','Standardtittel',0,0
'776','t','Tittel',0,0
'776','w','Lokalt systems identifikasjonsnummer. (R)',1,0
'776','x','ISSN',0,0
'776','y','CODEN',0,0
'776','z','ISBN',0,0
'776','7','Type hovedordningsord i delfelt $a',0,0
'777','a','Hovedordningsord for posten det lenkes til, hvis dette er et personnavn, korporasjonsnavn eller en standardtittel.',0,0
'777','b','Utgave.',0,0
'777','d','Sted, forlag og dato (år) for utgivelse.',0,0
'777','e','Språkkode.',0,0
'777','f','Landekode.',0,0
'777','g','Relasjonsopplysninger. (R)',1,0
'777','h','Materialbetegnelse.',0,0
'777','i','Årstall i "ren" form. (R)',1,0
'777','k','Serie. (R)',1,0
'777','s','Standardtittel',0,0
'777','t','Tittel',0,0
'777','w','Lokalt systems identifikasjonsnummer. (R)',1,0
'777','x','ISSN',0,0
'777','y','CODEN',0,0
'777','z','ISBN',0,0
'777','7','Type hovedordningsord i delfelt $a',0,0
'780','a','Hovedordningsord for posten det lenkes til, hvis dette er et personnavn, korporasjonsnavn eller en standardtittel.',0,0
